,Average Rating,Average Difficulty,Number of ratings,Received a pepper,Proportion of students that said they would take the class again,Number of ratings coming from online classes,Male Professor,Female Professor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,3.5,3.3,22.0,0.0,56.0,7.0,1,0,0.36363636363636365,0.5909090909090909,0.045454545454545456,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.0,0.13636363636363635,0.0,0.3181818181818182,0.13636363636363635,0.0,0.0,0.0,0.13636363636363635,0.0,0.045454545454545456,0.13636363636363635
25,4.3,3.3,16.0,1.0,83.0,0.0,0,1,0.375,0.3125,0.25,0.0625,0.0625,0.0,0.0,0.4375,0.0625,0.1875,0.0,0.0,0.0625,0.0,0.0,0.125,0.625,0.0,0.0,0.0625
40,1.8,3.8,15.0,0.0,22.0,1.0,0,1,0.26666666666666666,0.0,0.0,0.4,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.0,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0
42,4.1,3.3,21.0,0.0,67.0,0.0,0,1,0.23809523809523808,0.09523809523809523,0.14285714285714285,0.6190476190476191,0.047619047619047616,0.2857142857142857,0.47619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.23809523809523808,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.09523809523809523
46,4.2,1.8,26.0,1.0,57.0,8.0,1,0,0.0,0.038461538461538464,0.0,0.2692307692307692,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.2692307692307692,0.0,0.0,0.0,0.23076923076923078,0.19230769230769232,0.0,0.07692307692307693,0.4230769230769231,0.038461538461538464,0.07692307692307693,0.0,0.07692307692307693
98,4.6,2.2,16.0,1.0,89.0,1.0,0,1,0.0,0.375,0.3125,0.0,0.1875,0.4375,0.1875,0.125,0.0,0.0,0.0,0.125,0.25,0.0,0.0625,0.0,0.5,0.0,0.0,0.0
107,4.5,3.2,10.0,0.0,89.0,5.0,1,0,0.4,0.4,0.1,0.2,0.0,0.0,0.2,0.1,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.3,0.0,0.0,0.1
119,3.2,3.9,29.0,0.0,50.0,0.0,1,0,0.4827586206896552,0.10344827586206896,0.06896551724137931,0.1724137931034483,0.10344827586206896,0.2413793103448276,0.27586206896551724,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.0,0.10344827586206896,0.20689655172413793,0.0,0.0,0.06896551724137931,0.1724137931034483,0.3103448275862069,0.0,0.06896551724137931
122,3.8,3.0,25.0,0.0,55.0,0.0,1,0,0.24,0.16,0.04,0.04,0.04,0.4,0.04,0.16,0.0,0.04,0.0,0.08,0.16,0.08,0.0,0.28,0.12,0.12,0.28,0.2
124,5.0,1.9,60.0,1.0,100.0,4.0,0,1,0.03333333333333333,0.2,0.36666666666666664,0.0,0.06666666666666667,0.06666666666666667,0.1,0.31666666666666665,0.0,0.0,0.0,0.1,0.36666666666666664,0.016666666666666666,0.016666666666666666,0.13333333333333333,0.6,0.06666666666666667,0.0,0.016666666666666666
133,2.3,3.8,23.0,0.0,31.0,0.0,0,1,0.5217391304347826,0.08695652173913043,0.0,0.43478260869565216,0.13043478260869565,0.08695652173913043,0.0,0.0,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.0,0.0,0.13043478260869565,0.21739130434782608,0.0,0.0,0.0,0.0,0.5652173913043478
156,4.8,2.5,24.0,0.0,100.0,14.0,1,0,0.0,0.3333333333333333,0.20833333333333334,0.0,0.041666666666666664,0.0,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.375,0.125,0.0,0.0
170,4.8,2.6,26.0,0.0,100.0,0.0,1,0,0.0,0.11538461538461539,0.5,0.0,0.038461538461538464,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.0,0.11538461538461539,0.0,0.07692307692307693,0.4230769230769231,0.038461538461538464,0.0,0.46153846153846156,0.34615384615384615,0.0,0.0,0.0
183,3.8,2.4,16.0,1.0,70.0,0.0,1,0,0.0625,0.125,0.1875,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.25,0.25,0.1875,0.0625,0.0625,0.0,0.0,0.0,0.125
197,4.5,2.3,15.0,0.0,88.0,0.0,0,1,0.06666666666666667,0.6,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.2,0.26666666666666666,0.06666666666666667,0.0,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.3333333333333333,0.0
199,3.0,3.8,26.0,0.0,70.0,0.0,0,1,0.46153846153846156,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.3076923076923077,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.3076923076923077,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.0,0.0,0.07692307692307693,0.3076923076923077
211,3.6,3.7,14.0,0.0,20.0,1.0,1,0,0.2857142857142857,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857
243,4.4,1.5,19.0,1.0,100.0,1.0,0,1,0.0,0.21052631578947367,0.21052631578947367,0.0,0.3684210526315789,0.0,0.3157894736842105,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05263157894736842,0.15789473684210525,0.0,0.0,0.05263157894736842,0.6842105263157895,0.15789473684210525,0.10526315789473684,0.0
256,4.5,3.4,12.0,1.0,100.0,0.0,1,0,0.25,0.16666666666666666,0.16666666666666666,0.0,0.25,0.0,0.0,0.08333333333333333,0.0,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666
257,3.8,2.8,12.0,1.0,67.0,2.0,1,0,0.3333333333333333,0.25,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0,0.0
278,3.9,3.6,20.0,0.0,64.0,0.0,1,0,0.35,0.1,0.15,0.0,0.0,0.15,0.25,0.05,0.0,0.2,0.0,0.3,0.05,0.15,0.1,0.15,0.5,0.05,0.0,0.05
294,4.4,2.5,12.0,1.0,100.0,0.0,0,1,0.25,0.6666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.4166666666666667,0.08333333333333333,0.0,0.0
308,2.7,3.3,12.0,0.0,50.0,0.0,0,1,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.5
318,4.9,2.7,20.0,1.0,100.0,0.0,0,1,0.05,0.1,0.05,0.0,0.2,0.0,0.1,0.05,0.0,0.45,0.0,0.1,0.0,0.05,0.0,0.0,0.7,0.05,0.4,0.0
319,4.6,2.9,18.0,0.0,100.0,0.0,1,0,0.0,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.0,0.0,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.1111111111111111
323,4.6,2.6,26.0,1.0,100.0,3.0,1,0,0.07692307692307693,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.0,0.0,0.19230769230769232,0.0,0.19230769230769232,0.0,0.34615384615384615,0.07692307692307693,0.038461538461538464,0.0,0.4230769230769231,0.4230769230769231,0.07692307692307693,0.0,0.11538461538461539
354,4.8,1.8,11.0,1.0,100.0,6.0,1,0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.09090909090909091,0.0
362,2.9,3.8,13.0,0.0,33.0,0.0,0,1,0.6153846153846154,0.07692307692307693,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385
366,4.7,2.7,17.0,1.0,86.0,0.0,1,0,0.0,0.23529411764705882,0.47058823529411764,0.0,0.35294117647058826,0.058823529411764705,0.0,0.35294117647058826,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.0,0.0,0.11764705882352941
384,4.5,1.1,12.0,0.0,100.0,0.0,1,0,0.08333333333333333,0.0,0.5,0.0,0.08333333333333333,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.08333333333333333
389,3.4,3.0,22.0,0.0,71.0,0.0,0,1,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.22727272727272727,0.0,0.13636363636363635,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.5454545454545454
399,4.3,3.3,14.0,0.0,75.0,0.0,1,0,0.07142857142857142,0.2857142857142857,0.5,0.0,0.0,0.21428571428571427,0.35714285714285715,0.0,0.0,0.2857142857142857,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0,0.07142857142857142
402,3.0,3.3,15.0,0.0,56.0,5.0,1,0,0.4666666666666667,0.26666666666666666,0.0,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.2
413,3.4,3.5,13.0,0.0,78.0,0.0,1,0,0.0,0.38461538461538464,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693
414,2.9,3.9,16.0,0.0,53.0,0.0,0,1,0.3125,0.125,0.0625,0.1875,0.125,0.1875,0.0625,0.1875,0.0,0.25,0.0625,0.0625,0.0,0.25,0.0625,0.1875,0.125,0.125,0.1875,0.3125
433,4.5,2.3,12.0,0.0,100.0,6.0,1,0,0.16666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666
455,4.5,2.5,11.0,0.0,90.0,1.0,1,0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.0,0.36363636363636365,0.0,0.18181818181818182,0.2727272727272727,0.0,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0
457,2.8,3.9,18.0,0.0,50.0,0.0,0,1,0.4444444444444444,0.2777777777777778,0.0,0.3333333333333333,0.16666666666666666,0.5555555555555556,0.5555555555555556,0.05555555555555555,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,4.8,1.7,12.0,0.0,100.0,0.0,1,0,0.0,0.5,0.4166666666666667,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0
515,2.8,3.4,31.0,0.0,28.0,0.0,0,1,0.5483870967741935,0.25806451612903225,0.0,0.16129032258064516,0.0967741935483871,0.3548387096774194,0.03225806451612903,0.0,0.0967741935483871,0.06451612903225806,0.0,0.12903225806451613,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,0.22580645161290322,0.3225806451612903,0.12903225806451613
516,4.5,2.4,23.0,1.0,93.0,9.0,0,1,0.043478260869565216,0.43478260869565216,0.13043478260869565,0.2608695652173913,0.2608695652173913,0.0,0.34782608695652173,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.0,0.0,0.0,0.17391304347826086,0.43478260869565216,0.043478260869565216,0.08695652173913043,0.0
553,4.2,2.5,16.0,0.0,50.0,5.0,1,0,0.25,0.4375,0.0625,0.25,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.125,0.0625,0.375,0.0,0.125,0.125,0.125,0.0,0.0,0.0
571,2.1,3.3,14.0,0.0,25.0,0.0,0,1,0.5,0.07142857142857142,0.07142857142857142,0.0,0.0,0.42857142857142855,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.0,0.2857142857142857,0.07142857142857142
573,3.2,2.4,11.0,0.0,80.0,0.0,1,0,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0
583,4.4,2.9,11.0,0.0,83.0,0.0,0,1,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0
585,4.2,3.2,39.0,1.0,65.0,0.0,1,0,0.15384615384615385,0.0,0.2564102564102564,0.1794871794871795,0.0,0.0,0.0,0.1282051282051282,0.0,0.07692307692307693,0.0,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.05128205128205128,0.23076923076923078,0.1282051282051282,0.07692307692307693,0.0,0.38461538461538464
609,4.2,2.6,15.0,0.0,67.0,0.0,1,0,0.2,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.4666666666666667,0.06666666666666667,0.0,0.0,0.13333333333333333
704,3.5,3.1,11.0,0.0,80.0,3.0,0,1,0.18181818181818182,0.2727272727272727,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182
713,3.3,3.1,11.0,0.0,40.0,0.0,1,0,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.45454545454545453,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.36363636363636365
716,4.3,3.1,12.0,1.0,83.0,0.0,0,1,0.08333333333333333,0.25,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0
730,2.0,4.6,21.0,0.0,42.0,1.0,1,0,0.5238095238095238,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.0,0.0,0.5238095238095238,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.19047619047619047,0.0,0.047619047619047616,0.047619047619047616
764,4.0,2.9,10.0,0.0,80.0,0.0,0,1,0.1,0.3,0.3,0.0,0.2,0.2,0.1,0.2,0.1,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0
770,3.7,2.5,10.0,0.0,71.0,2.0,0,1,0.1,0.2,0.1,0.2,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.3
779,4.1,1.6,10.0,1.0,80.0,0.0,1,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.2,0.0,0.2,0.0
780,4.7,2.2,28.0,1.0,87.0,0.0,0,1,0.03571428571428571,0.25,0.39285714285714285,0.0,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0,0.0,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.0,0.03571428571428571,0.42857142857142855,0.39285714285714285,0.14285714285714285,0.0,0.03571428571428571
791,4.5,1.4,15.0,0.0,100.0,0.0,1,0,0.0,0.2,0.26666666666666666,0.0,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.13333333333333333
822,4.0,3.0,13.0,1.0,40.0,0.0,1,0,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.23076923076923078,0.6923076923076923,0.0,0.3076923076923077
836,4.7,1.9,12.0,1.0,100.0,4.0,0,1,0.0,0.4166666666666667,0.25,0.0,0.25,0.16666666666666666,0.0,0.0,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.0
872,3.9,2.4,14.0,0.0,89.0,0.0,0,1,0.21428571428571427,0.6428571428571429,0.0,0.07142857142857142,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,0.21428571428571427,0.0
887,4.6,3.2,11.0,1.0,100.0,0.0,0,1,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.0,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.6363636363636364,0.09090909090909091,0.0,0.0,0.0
900,4.3,1.7,11.0,1.0,100.0,1.0,0,1,0.0,0.45454545454545453,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.09090909090909091,0.0,0.6363636363636364,0.09090909090909091,0.0,0.0
937,4.6,2.3,10.0,1.0,100.0,0.0,0,1,0.0,0.4,0.3,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.2,0.5,0.0,0.0,0.0
